code,name,eligible_common_stock,old_category,new_category,old_final_score,new_final_score,category_changed,final_score_changed,chip_bonus_v1,capital_flow_score_v2_shadow,v1_rank,v2_rank,rank_change,v1_percentile,v2_percentile,case,movement_reason,flow_price_quadrant,foreign_flow_ratio_5d,trust_flow_ratio_5d,foreign_flow_percentile,trust_flow_percentile,rs20,rs20_percentile,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,current_research_rank,shadow_rank_v2,shadow_rank_change
3354,律勝,True,excluded,excluded,0,0,False,False,5.0,39.36,279.0,212.0,67.0,64.27640156453715,72.49022164276401,,連買天數不長，但V2不只依賴連買,Q2,0.1663286004056795,0.0,83.57,51.76,-16.198183691538425,9.91,3.5,12.5,4.0,6.0,5.0,8.36,,,
3356,奇偶,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3357,臺慶科,True,excluded,excluded,0,0,False,False,0.0,7.0,642.0,591.0,51.0,19.621903520208605,23.598435462842243,D_V1_weak_V2_weak,連買天數不長，但V2不只依賴連買,Q4,-0.05674930122554289,-0.014192109223822833,31.29,5.87,-14.508383771202617,11.47,0.0,0.0,2.5,4.5,0.0,0.0,,,
3360,尚立,True,excluded,excluded,0,0,False,False,5.0,35.93,280.0,300.0,-20.0,64.27640156453715,61.016949152542374,,全市場flow percentile偏低（外資P64、投信P52）；價格未確認（Q2、RS20 -18.36）,Q2,0.06178122471000809,0.0,64.28,51.76,-18.359346511887775,8.21,3.5,12.5,2.5,6.0,5.0,6.43,,,
3362,先進光,True,buy_candidates,buy_candidates,67,67,False,False,7.0,25.74,90.0,399.0,-309.0,88.33116036505866,48.109517601043024,,V1連買訊號高（外資4日／投信0日）；實際介入強度低（強度分 5.2/25）；全市場flow percentile偏低（外資P53、投信P52）；價格未確認（Q2、RS20 -4.57）,Q2,0.02065590209561231,0.0,53.32,51.76,-4.574799579398691,37.81,4.5,5.16,3.0,2.75,5.0,5.33,3.0,25.0,-22.0
3363,上詮,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3372,典範,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3373,熱映,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3374,精材,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3376,新日興,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
